Sindicato,Convenção,Título da Cláusula,Resumo,Cláusula Completa
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA PRIMEIRA - VIGÊNCIA E DATA-BASE,As partes fixam a vigência da presente Convenção Coletiva de Trabalho no período de 01º de maio de 2025 a 30 de abril de 2026 e a data-base da...,"As partes fixam a vigência da presente Convenção Coletiva de Trabalho no período de 01º de maio de 2025 a 30 de abril de 2026 e a data-base
da categoria em 01º de maio."
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA SEGUNDA - ABRANGÊNCIA,"A presente Convenção Coletiva de Trabalho abrangerá a(s) categoria(s) FISIOTERAPEUTAS E TERAPEUTAS OCUPACIONAIS, com abrangência territorial em...","A presente Convenção Coletiva de Trabalho abrangerá a(s) categoria(s) FISIOTERAPEUTAS E TERAPEUTAS OCUPACIONAIS, com
abrangência territorial em Astorga/PR, Atalaia/PR, Colorado/PR, Doutor Camargo/PR, Floraí/PR, Floresta/PR, Flórida/PR, Iguaraçu/PR,
Itambé/PR, Ivatuba/PR, Lobato/PR, Mandaguaçu/PR, Mandaguari/PR, Marialva/PR, Maringá/PR, Munhoz de Melo/PR, Nossa Senhora
das Graças/PR, Ourizona/PR, Paiçandu/PR, Presidente Castelo Branco/PR, Santa Fé/PR, Santa Inês/PR, Santo Inácio/PR, São Jorge do
Ivaí/PR e Sarandi/PR.
SALÁRIOS, REAJUSTES E PAGAMENTO
REAJUSTES/CORREÇÕES SALARIAIS"
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA TERCEIRA - PISO DA CATEGORIA E REAJUSTE SALARIAL,"Para uma jornada de 30 (trinta) horas semanais (Lei n. 8856/94), fica acordado que nenhum fisioterapeuta e/ou terapeuta ocupacional poderá receber...","Para uma jornada de 30 (trinta) horas semanais (Lei n. 8856/94), fica acordado que nenhum fisioterapeuta e/ou terapeuta ocupacional poderá receber valor
inferior a:
a) De 01/05/2025 a 31/08/2025: R$ 2.646,07 (dois mil, seicentos e quarenta e seis reais e sete centavos).
b) A partir de 01/09/2025: R$ 2.718,51 (dois mil, setecentos e dezoito reais e cinquenta e um centavos).
Paragrafo Primeiro: Os salários superiores aos pisos estabelecidos no caput serão reajustados da seguinte maneira:
I) Salários até R$10.000,00: O reajuste é de 5,82%, divididos em duas vezes: (Maio 3,00% e Setembro 2,82%) e aplicados da seguinte forma para que não
haja capitalização:
a) A partir de 01/05/2025 - Reajuste de 3,00% sobre os salários auferidos em abril/2025
b) A partir de 01/09/2025 - Reajuste de 5,82% sobre os salários auferidos em abril/2025
c) Exemplos de cálculo de reajuste não capitalizado: Salário de R$2.000,00 recebido em abril/2025:
Em maio de 2025 o cálculo é de R$2.000,00 + 3% de reajuste= R$2.060,00
Em setembro de 2025 o cálculo é de R$2.000,00 + 5,82% de reajuste=R$2.116,40
II) Entre R$10.000,01 a R$16.314,82 de salário: O reajuste é de 3,82%, divididos em duas vezes (2% em Maio e 1,82% em Setembro) e aplicados da
seguinte forma, para que não haja capitalização:
a) A partir de 01/05/2025 - Reajuste de 2% sobre os salários auferidos em abril/2025
b) A partir de 01/09/2025 - Reajuste de 3,82% sobre os salários auferidos em abril/2025
c) Exemplos de cálculo de reajuste não capitalizado: Salário de R$10.000,00 recebido em abril/2025
Em maio de 2025 o cálculo é de R$10.000,00 + 2% de reajuste= R$10.200,00
Em setembro de 2025 o cálculo é de R$10.000,00 + 3,82% de reajuste=R$10.382,00
III) Acima de 16.314,82 haverá livre negociação entre empregado e empregador, conforme a previsão do artigo 444 da CLT.
Parágrafo Segundo: Tendo em vista a celebração tardia da presente Convenção Coletiva de Trabalho, eventuais valores retroativos referente ao piso e
salario, deverão serem realizados na próxima folha de pagamento subsequente ao fechamento da presente Convenção Coletiva de Trabalho.
Parágrafo Terceiro: Serão compensados todos os reajustes salariais espontâneos ou compulsórios e as antecipações salariais concedidas a partir de
maio/2025.
Parágrafo Quarto: Não serão compensados os aumentos decorrentes de promoção, transferência, equiparação salarial, implemento de idade, mérito e
término de contrato de aprendizagem, bem como, resultantes da integração de horas extras.
PAGAMENTO DE SALÁRIO – FORMAS E PRAZOS"
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA QUARTA - PAGAMENTO DAS VERBAS RESCISÓRIAS,"O pagamento das verbas rescisórias deverá ser feito, sem qualquer acréscimo, até o (10) décimo dia legal, sendo que se o mesmo recair no sábado,...","O pagamento das verbas rescisórias deverá ser feito, sem qualquer acréscimo, até o (10) décimo dia legal, sendo que se o mesmo recair no sábado,
domingo ou feriado, o referido pagamento deverá ser realizado até o último dia útil que anteceda o prazo legal."
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA QUINTA - COMPROVANTES DE PAGAMENTO,"Discriminando as importâncias da remuneração e os respectivos descontos efetuados, inclusive o valor a ser recolhido ao FGTS.","Discriminando as importâncias da remuneração e os respectivos descontos efetuados, inclusive o valor a ser recolhido ao FGTS.
Parágrafo Primeiro: A obrigação do caput pode ser suprida por meio eletrônico, através de e-mail, sistemas ou outra forma de acesso via internet
disponibilizada ao trabalhador de forma individual. Caso haja solicitação fundamentada do trabalhador com prazo mínimo de 48 horas, o documento deve
ser disponibilizado em formato físico, excepcionalmente no mês do pedido.
Parágrafo Segundo: As empresas pagarão os salários e todas as verbas que compõem a remuneração do empregado até o 5º (quinto) dia útil do mês
subsequente ao trabalhado."
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA SEXTA - ERRO NA FOLHA DE PAGAMENTO,"No caso de ocorrência inequívoca de diferença de salário na folha de pagamento ou adiantamento, em prejuízo do empregado, a empresa se obriga a...","No caso de ocorrência inequívoca de diferença de salário na folha de pagamento ou adiantamento, em prejuízo do empregado, a empresa se obriga a
efetuar o pagamento da respectiva diferença no prazo de até 03 (três) dias úteis, contados a partir da data da constatação da diferença."
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA SÉTIMA - PAGAMENTO DE SALÁRIO FORA DO PRAZO,"O pagamento do salário mensal deve ser realizado na forma e prazo legal. O pagamento salarial fora do prazo implicará na multa de 0,30% (zero vírgula...","O pagamento do salário mensal deve ser realizado na forma e prazo legal. O pagamento salarial fora do prazo implicará na multa de 0,30% (zero vírgula
trinta por cento) por dia de atraso, que será calculado sobre o valor líquido devido e deverá ser regularizado até a folha de pagamento seguinte."
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA OITAVA - INDENIZAÇÃO ADICIONAL,"As partes em cumprimento à lei 7.238, de 29/10/84 e visando dar tratamento uniforme ao pagamento da indenização adicional, estabelecem que: a) o...","As partes em cumprimento à lei 7.238, de 29/10/84 e visando dar tratamento uniforme ao pagamento da indenização adicional, estabelecem que:
a) o tempo do aviso prévio cumprido ou indenizado integra o tempo de serviço para todos os efeitos legais;
b) somado o tempo do aviso prévio indenizado ao contrato de trabalho é devida a indenização adicional quando a projeção ocorrer no período de 1/4/ a
30/4 de cada ano;
c) somado o tempo do aviso prévio indenizado ao contrato de trabalho, não é devida a indenização adicional, quando a projeção do tempo do aviso prévio
recair no período posterior a 30/4/ ou anterior a 31/3 de cada ano.
Parágrafo Único: Ressalva-se que os dias de aviso prévio acrescentado pela lei 12.506/2011, serão computados para cálculo do tempo de serviço e
consequente enquadramento para cálculo da indenização adicional."
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA NONA - SALÁRIO DO SUBSTITUTO,"Enquanto perdurar a substituição meramente eventual, com período superior a 30 (trinta) dias, o empregado substituto fará jus ao salário contratual...","Enquanto perdurar a substituição meramente eventual, com período superior a 30 (trinta) dias, o empregado substituto fará jus ao salário contratual do
substituído, excetuando-se as vantagens de caráter pessoal.
GRATIFICAÇÕES, ADICIONAIS, AUXÍLIOS E OUTROS
OUTRAS GRATIFICAÇÕES"
FISIOTERAPEUTAS/T.O.,MARINGÁ 2025/2026,CLÁUSULA DÉCIMA - ABONO POR TEMPO DE SERVIÇO,"Fixa-se o abono por tempo de serviço correspondente a 0,6% (zero vírgula seis por cento) por ano de serviço trabalhado na mesma empresa, incidente...","Fixa-se o abono por tempo de serviço correspondente a 0,6% (zero vírgula seis por cento) por ano de serviço trabalhado na mesma empresa, incidente
sobre o salário base do empregado, a ser pago destacadamente, ficando excluído para do cômputo do tempo de serviço o período de afastamento pelo
INSS, com duração acima de trinta dias.
Parágrafo Primeiro: A partir de 01/05/2010, não haverá mais o limitador de 10 anos, até então constante nas CCT anteriores, passando a aplicar-se a
regra do caput, a partir da presente data a todos aqueles trabalhadores que completarem um novo anuênio.
Parágrafo Segundo: Acordam as partes que o tempo de serviço prestado pelos trabalhadores com mais de 10 (dez) anos na empresa até 30/4/2010, não
será computado para fins do benefício.
Parágrafo Terceiro: Fica assegurado que o Abono por tempo de serviço não será descontado proporcionalmente, em caso de falta justificada por atestado
médico, licenças gala ou luto, na concessão de licença prêmio e na compensação por banco de horas.
Parágrafo Quarto: Garante-se aos empregados constantes da folha de pagamento do mês de junho/2000, o percentual integral até então recebido,
passando o novo adicional a ser regido pelo caput a partir do mês de julho/2000.
Parágrafo Quinto: Aos empregados que tinham 10 (dez) anos ou mais de serviço na mesma empresa, fica garantido à manutenção do percentual pago na
folha de pagamento de abril/1999, valor que permanecerá inalterado.
Parágrafo Sexto: O presente benefício não possui natureza salarial, nos termos do artigo 457, parágrafo 2º da CLT.
ADICIONAL DE HORA-EXTRA"
