"Sindicato","Convenção","Título da Cláusula","Resumo","Cláusula Completa"
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA PRIMEIRA - ABRANGÊNCIA","A presente Convenção abrange os Medicos, neste ato representados pelo Sindicato dos Médicos do Estado da Bahia - SINDIMED e que laboram para as empresas pertencentes a categoria econômica representada pelo SINDIFIBA, com exceção da cidade de ltabuna.","A presente Convenção abrange os Medicos, neste ato representados pelo Sindicato dos Médicos do Estado da Bahia - SINDIMED e que laboram para as empresas pertencentes a categoria econômica representada pelo SINDIFIBA, com exceção da cidade de ltabuna."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA SEGUNDA - COMISSÃO PARITÁRA","E nomeiam as partes uma comissão paritária de 04 membros, composta de 02 representantês dos trabalhadores e igual número de rêprêsentantes das empresa...","E nomeiam as partes uma comissão paritária de 04 membros, composta de 02 representantês dos trabalhadores e igual número de rêprêsentantes das empresas integrantes da catêgoria econômica, com a finalidade especifica de discutir e determinem a viabilidade de implementação da remuneração de sobreaviso, base de cálculo do adicional de insalubridade, piso salarial, condiçôes físicas do conforto médico e prazo da licença maternidade. Esta Comissão terá o prazo de 180 dias a contâr da assinatura desta Convençáo, para emitir parecer sobre a possibilidade ou não de aditamento a presente Convenção Coletiva de Trabalho com a inserÇão de cláusulas cujo conteúdo seja o resultado dos estudos desenvolvidos pela Comissão, ora implantada."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA TERCEIRA - REAJUSTE SALARIAL","As entidades empregadoras integrantes da categoria econômica representada pelo SINDIFIBA concederão um reajuste de 3,8% (três virgula oito por cento) sobre o salário de abril/2025, a ser pago a partir de agosto/2025.","As entidades empregadoras integrantes da categoria econômica representada pelo SINDIFIBA concederão um reajuste de 3,8% (três virgula oito por cento) sobre o salário de abril/2025, a ser pago a partir de agosto/2025. PARÁGRAFO PRIMEIRO - Os valores correspondentes ao período de maio/2025 a julho/2025, serão pagos nas folhas de agosto/2025, setembro/2025 e outubro/2025, inclusive verbas rescisórias deste período, sob a forma de abono no percentual indicado na cláusula terceira, não sendo cumulativos, sobre os valores praticados nos meses de pagamento do abono ora pactuado, sendo que não constituem base de incidência de qualquer encargo trabalhista e previdenciário. PARÁGRAFO SEGUNDO - As entidades empregadoras poderão compensar os aumentos legais ou espontâneos concedidos no período de 01 de maio de 2024 a 30 de julho de 2025, com exceção daqueles decorrentes de promoção, transferência, equiparação salarial, implemento de idade, mérito, expressamente concedidos a esses títulos."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA QUARTA - ESCALA DE TRABALHO","Fica facultada as entidades empregadoras integrantes da categoria representadas pelo SINDIFIBA, estabelecerem jornada diária de trabalho de 4 horas, 6 horas, 8 horas, 12 horas, 24 horas, respeitada a carga horária mensal.","Fica facultada as entidades empregadoras integrantes da categoria representadas pelo SINDIFIBA, estabelecerem jornada diária de trabalho de 4 horas, 6 horas, 8 horas, 12 horas, 24 horas, respeitada a carga horária mensal. PARÁGRAFO PRIMEIRO - Para o trabalho do médico realizado em regime ambulatorial a carga horária semanal será de 20 (vinte) horas, perfazendo 100 (cem) horas mensais e para o trabalho realizado em plantões de 12,24 ou 36 horas semanais. É permitida a contratagão de jornada diversa daquela acima estipulãda, em regime ambulatorial ou de plantão, com pagamento de saláÍio proporcional ao número de horas contratadas, através de contrato escrito, individual, flrmado entre o médico e as entidades empregadoras. PARÁGRAFO SEGUNDO - Ocorrendo interesse do empregado e do empregador integrantes das categorias convenientes quanto a redução da jornada contratual e remuneração proporcional, deverá ser feito mediante acordo individual formal, podendo ser homologado pelo SINDIMED. PARÁGRAFO TERCEIRO - Obriga-se as entidades empregadoras, na oconência das exceçôes previstas no parágrafo primeiro supra, a fornecer cópia do respêctivo contrato ao médico, mediante meio de encaminhamento eÍicaz, inclusive sob a forma eletrônica, especiâlmente atraves de e-mail, sob pena das horas excedentes serem consideradas como jornada extraordinária. PARÁGRAFO QUARTO - Obriga-se as entidades empregadoras a divulgarem escala de serviço com antecedência mÍnima de 30 (trinta) dias. PARÁGRAFO QUINTO - Faculta-se as entidades empregadoras estabelecer a escala de trabalho de 12x24, 12x36, 12x48 e 24x72 e em escalas de plantão de 12 horas (Serviços Diurno/Noturno), em parte dos setores ou em todos os setores dos estabelecimentos vinculados a esta ConvenÇão Coletiva de Trabalho observando- se: a) - Para aqueles empregados que trabalharem sob as denominadas ""escalas de plantão"", as í2 (doze) ou 24 (vinte e quatro) horas de prestação de serviço serão entendidas como horas normais, inclusive no labor em dias considerados como domingos e feriados, ficando esclarecido igualmente que não serão caracterizadas e remuneradas como horas extras, inclusive as horas trabalhadas na eventualidade de vir a ser ultrapassada a carga horária contratual, desde que o excesso de horas trabalhadas seja compensado na forma estabelecida no banco de horas- b) - Fica assegurado para os trabalhadores que atuam em escalas de plantão um intervalo de 1 (uma) hora a cada 12 (doze) horas de trabalho, para repouso e refeição, a ser gozado na oportunidade indicâda pela empresa e compatível com.0, a disponibilidade do serviço em execução (artigo 71 e parágrafos da CLT). /- úl qtv c) -Aos trabalhadores que atuam eminentemente em escalas de plantão de 12 horas (Serviços Diurno/ Noturno), que não se confundem com os regimes de compensação 12x36, 12x24 ou 1 2x48, poderão cumprir suas jornadas diárias em turnos diferentes sem que isso caracterize turno ininterrupto de revezamento. d) -As escalas de plantão de í2 horas (Serviços Diurno/ Noturno) podem ocorrer em dias consecutivos, desde que se observe a carga horária contratual, com as respectivas folgas previstas na semana. ê) As empresas integrantes da categoria econômica que possuem refeitórios em suas unidades, ficam autorizadas a reduzir o intervalo intrajornada de que trata o artigo 71, § 3' da CLT, na forma do quanto disposto pela Portaria n' 1.095 do Ministerio do Trabalho e Emprego - MTE, respêitado o limite mínimo exigido de 30 (trinta) minutos. PARÁGRAFO SEXTO - As partes acordam pela possibilidade de implantação do regime de trabalho de 12x24 e 12x48, de acordo com a carga horária contratada e se dârá nos seguintes moldes: o trabalho será iniciado com uma jornada de 12h, seguida de uma folga de 24h, no dia seguinte; ocoÍrera novo labor em jornada de 12h, acompanhada de uma folga de 48h. PARÁGRAFO SÉTIMO - Para a apuração das horas extras a serem pagas ou compensadas não sêrão levadas em consideração as trocas de plantão efetuadas entre os empregados, ainda que estas trocas impliquem em excesso a carga horária semanal. As entidades empregadoras permitirão por conveniência própria e consenso entre as partes, o limite máximo de 5 (cinco) trocas por mês, inclusive para as jornadas de 12x24, 12x36, 12x48 e 24x72, escalas mistas (Serviço Diurno/ Noturno), devendo obedecer a política interna de cada lnstituiÇão, a troca dê plantão somente poderá ser rcalizada caso o êmprêgado tênha descânsado, no mínimo, onze horas consecutivas. PARÁGRAFO OITAVO - As entidades empregadoras integrantes da categoria econômica representâda pelo SINDIFIBA ficam autorizadas a funcionarem em domingos e feriados, devendo, entretanto, estabelecerem escalas de folgas compensatórios na forma estabelecida no banco de horas. PARÁGRAFO NONO - Conforme artigos 611 -A inciso Xll (Acordos e Convenções Coletivas), e 189 e seguintes da CLT (Atividades lnsalubres), Íica estabelecido a todos abrangidos pela respectiva convenção coletiva, o trabalho e a prorrogação da jornada nas atividades descritas nos artigos supracitados. PARÁGRAFO DÉCIMO - Com fundamento no art. 61í-A da CLT c/c o art. 50, I da Constituição Federal, que estabelece expressamente que homens e mulheres são iguais perante à Lei e visando preservar o mercado de trabalho das medicas, fica convencionado que o trabalho aos domingos da mulher deverá respeitar o previsto no art. 60, garágrafo., p_, único, da Lei 10.101/2000 e não ao disposto no art. 386 da CLT."""
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA QUINTA - BANCO DE HORAS","As entidadês êmpregadoras integrantes dâ categoria econômica representadas pelo SINDIFIBA ficam autorizadas a adotar o sistema de compensaçáo de horas...","As entidadês êmpregadoras integrantes dâ categoria econômica representadas pelo SINDIFIBA ficam autorizadas a adotar o sistema de compensaçáo de horas trabalhadas, através do qual o excesso de horas em um ou mais dias possa ser compensado pela correspondente diminuição da jornada em outro dia, de maneira que tal regime não exceda prazo máximo de 6 (seis) meses. PARÁGRAFO PRIMEIRO - As entidades empregadoras deverão disponibilizar aos mesmos as informações sobre as horas trabalhadas no mês. PARÁGRAFO SEGUNDO - Ficam as entidades empregadoras autorizadas a utilizar-se da compensação no período destinado a concessão de férias, adicionândo-se ao período de gozo eÍetivo das férias os dias correspondentês a compensação ora destacada. PARÁGRAFO TERCEIRO -As faltas ao trabalho, assim como os atrasos injustificados seráo descontados conforme legislação aplicável ou política lnstitucional. PARÁGRAFO QUARTO - Na hipótêse de rescisão do contrato de trabalho, as horas trabalhadas e não compensadas serão pagas na rescisão."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA SEXTA - HORAS EXTRAS","As horas extras serão pagas como previsto na legislaÇão vigente.","As horas extras serão pagas como previsto na legislaÇão vigente."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA SÉTIMA - ANUÊNIO","As entidades empregadoras que já pagam a vantagem denominada anuênio, cujo valor Íicou congelado em 30 de abril de 1998, deverão manter essa condição mais vantajosa para o empregado médico.","As entidades empregadoras que já pagam a vantagem denominada anuênio, cujo valor Íicou congelado em 30 de abril de 1998, deverão manter essa condição mais vantajosa para o empregado médico. O valor congelado deverá ser reajustado a partir de O1lOAl2O25, pelo mesmo índicê dê reajuste salarial e de conformidade com a cláusula terceira desta Convenção. PARÁGRAFo PRIMEIRO - Os valores correspondentes ao período de maio/2025 à julhol2o2', serão pagos nâs Íolhes de egosto/2025 a outubrol212', sob a forma de abono no percentual indicado na cláusula terceira, não sendo cumulativos, sobre os valores praticados nos meses de pagamento do abono ora pactuado, sendo que não constituem base de incidência de qualquer encargo trabalhista e previdenciário. PARÁGRAFO SEGUNDo - Não fazêm jus a vantagem prevista nêsta clausula os empregados que não a tenham adquirido até 30/04/1998."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA OITAVA - FÉRIAS PROPORCIONAIS","Fica assegurado aos empregados o pagamento de férias proporcionais acrescidas de um terço, na hipótese de ""pedido de demissão"", excetuando-se os contr...","Fica assegurado aos empregados o pagamento de férias proporcionais acrescidas de um terço, na hipótese de ""pedido de demissão"", excetuando-se os contratos de experiência, que continuarão regidos pela CLT e Legislação pertinente.!'l \\»' PARÁGRAFO ÚN|CO - O início das férias não poderá coincidir com sábados, domingos e feriados, exceto para os Médicos Plantonistas."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA NONA - ADICIONAL NOTURNO","O adicional noturno será pago como previsto na legislação vigente.","O adicional noturno será pago como previsto na legislação vigente."
"SINDICATO DOS MÉDICOS DO ESTADO DA BAHTA - SINDIMED","2025-2026","CLÁUSULA DÉCIMA - AUXÍLIO CRECHE","Para cada filho menor de 06 (seis) anos, inclusive adotivos, desde que entregue a documentação pertinente ao empregador, os empregados terão direito ao auxílio creche no valor de R$80,00 (oitenta reais), a partir de maio/2025.","Para cada filho menor de 06 (seis) anos, inclusive adotivos, desde que entregue a documentação pertinente ao empregador, os empregados terão direito ao auxílio creche no valor de R$80,00 (oitenta reais), a partir de maio/2025. PARÁGRAFo PRIMEIRo - o valor rêtroativo correspondente aos meses de maio, junho, julho/2025, serão pagos na folha de agosto à outubro/2025, em forma de abono e não constituem base de incidência de qualquer encargo trabalhista e previdenciário. PARÁGRAFO SEGUNDO - As entidades empregadoras que concedam bolsas de estudos, ficam desobrigadas do cumprimento desta cláusula, desde que o valor da bolsa não seja inferior ao do auxÍlio creche aqui estabelecido."
