"Sindicato","Convenção","Título da Cláusula","Resumo","Cláusula Completa"
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA PRIMEIRA - ABRANGÊNCIA.","A CCT abrange enfermeiros da Bahia, exceto Itabuna, que trabalham em santas casas, hospitais e entidades beneficentes, representados pelo SEEB e SINDIFIBA.","A presente Convenção abrange os enfermeiros, neste ato representados pelo Sindicato dos Enfermeiros do Estado da Bahia — SEEB e que laboram para as santas casas, hospitais, entidades beneficentes e filantrópicas do estado da Bahia, categoria econômica representada pelo SINDIFIBA, com exceção da cidade de Itabuna."
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA SEGUNDA - REAJUSTE SALARIAL.","Empregados com salário acima de R$4.750 terão reajuste escalonado até 4% em 2025; abaixo desse valor não haverá reajuste; salários acima de R$9.000 terão reajuste negociado.","As instituições integrantes da Categoria Econômica representada pelo SINDIFIBA concederão aos seus empregados um reajuste salarial da seguinte forma: a) Para os empregados que recebem salário base superior a R$ 4.750,00 (Quatro mil, setecentos e cinquenta reais) referente ao Piso Salarial Nacional (LEI 14.434/2022), será concedido o rejuste de 2% (dois por cento) a partir de maio à agosto de 2025, em forma de abono, calculado sobre o salário de abril de 2025. A partir de 01/09/2025, o reajuste salarial final será de 4% (quatro por cento), calculado sobre o salário de abril/2025, sem pagamento retrotivo e sem sobreposição de percentuais. b) Para os empregados que recebem salário base mensal inferior a 4.750,00 (Quatro mil,setecentos e cinquenta reais) referente ao Piso Salarial Nacional (LEI 14.434/2022), não será concedido reajuste salarial, uma vez que estes já estão sendo contemplados pela assistencia complementar da união, conforme a EC 127/2022. c) Para os empregados que recebem salário base igual ou superior a R$ 9.000,00 (nove mil reais), ficam as instituições autorizadas a negociar livremente qualquer índice de reajuste de salário. PARÁGRAFO PRIMEIRO — Os valores retroativos (2% - dois por cento) previstos no item ""a"" correspondentes ao período de maio a agosto/2025, serão pagos em 04 (quatro) parcelas nas folhas de setembro/2025, outubro/2025, novembro/2025 e dezembro/2025, em forma de abono, incllusive verbas rescisórias desse período, sendo essas (verbas rescisórias) pagas em uma unica parcela. O pagamento das diferensas devidas, dar-se-á sob a forma de abono e não constituem base de incidência de qualquer encargo trabalhista e previdenciário. PARÁGRAFO SEGUNDO - Serão compensadas todas as antecipações e reajustes salariais concedidos pelas instituições a partir de 01 de maio de 2024, inclusive aquelas previstas em acordos coletivos. PARÁGRAFO TERCEIRO — Somente não serão compensados os aumentos concedidos por força de promoção, transferência, equiparação salarial, méritos, planos de cargos, expressamente concedidos a título de aumento real."
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA TERCEIRA - DA CONCESSÃO DE ABONO ESPECIAL.","Empregados com salário base inferior a R$4.750 receberão abono de 2% sobre o salário de maio a agosto/2025, pago em 4 parcelas entre jan e abr/2026, sem encargos trabalhistas.","Para os empregados que recebem salário base inferior a 4.750,00 (Quatro mil, setecentos e cinquenta reais) referente ao Piso Salarial Nacional (LEI 14.434/2022), será concedido um abono salarial de 2% (dois por cento) calculado sobre o salário base dos meses de maio, junho, julho e agosto /2025, em 4 (quatro) parcelas, a serem pagas nas folhas salariais dos meses de janeiro/2026, fevereiro/2026, março/2026 e abril/2026, uma vez que estes já estão sendo contemplados pela assistencia complementar da União, conforme a EC 127/2022 , não constituindo esta parcela em base de incidência de qualquer encargo trabalhista e/ou previdenciário."
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA QUARTA - ADICIONAL DE HORAS EXTRAS","Horas extras têm adicional de 65%, domingos e feriados 100%; no interior da Bahia, adicional é 50% para extras e 100% para domingos e feriados, podendo ser pagas ou compensadas.","PARÁGRAFO PRIMEIRO - As horas extraordinárias realizadas além da jornada legal serão remuneradas com adicional de 65% (sessenta e cinco por cento) em relação ao valor da hora normal trabalhada. Já as horas extraordinárias realizadas nos dias destinados de domingos e feriados serão remunerados com adicional de 100% (cem por cento). PARÁGRAFO SEGUNDO - Fica ajustado, com base no artigo 7º, inciso XIIl, da Constituição Federal/88, que as horas laboradas em sobrejornada poderão ser pagas ou compensadas. PARÁGRAFO TERCEIRO - Para as Instituições localizadas nas cidades do interior do Estado da Bahia, as horas extras serão remuneradas com o adicional de 50% (cinquenta por cento) em relação ao valor da hora normal trabalhada. Já as horas extraordinárias realizadas nos dias de domingo e nos feriados serão remuneradas com o adicional de 100% (cem por cento)."
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA QUINTA - ADIANTAMENTO DE SALÁRIO","Empregados receberão adiantamento quinzenal de 25% do salário base entre os dias 15 e 20 de cada mês.","As instituições concederão aos seus empregados um adiantamento quinzenal, no valor de 25% (vinte e cinco por cento) do salário base, entre os dias 15 e 20 de cada mês."
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA SEXTA - CONTRIBUIÇÃO NEGOCIAL","Instituições descontarão 2% do salário base dos enfermeiros em outubro/2025 para contribuição sindical, com possibilidade de oposição em 06 a 08/10; pagarão 0,25% patronal e repassarão valores ao sindicato.","As instituições integrantes da categoria econômica descontarão de todos os seus Enfermeiros, nas folha correspondente ao mês de outubro de 2025, a contribuição assistencial prevista na Constituição Federal, no seu art. 8º inc. IV, para manutenção das atividades do sindicato profissional, no percentual correspondente a 2% (dois por cento) sobre o salário base de cada trabalhador já reajustado na forma da cláusula terceira desta Convenção Coletiva do Trabalho, como definido pela Assembleia Geral da Categoria em março/25. PARÁGRAFO PRIMEIRO - Os trabalhadores que não concordarem com o referido desconto, poderão fazer oposição ao mesmo, especificamente no período de 06 de outubro de 2025 até O8 de outubro de 2025, de forma presencial na sede do SEEB, no horário 9h às 16h. PARÁGRAFO SEGUNDO - O SEEB, por sua vez, deverá enviar às instituições até o dia 20 de outubro de 2025 uma relação nominal dos enfermeiros que tenham formalizado a sua oposição ao referido desconto. PARÁGRAFO TERCEIRO - As instituições pagarão no mês de outubro/2025 ao SEEB o percentual de 0,25% (vinte e cinco centésimos por cento), tendo como base de cálculo o salário base do mês de setembro/2025. PARÁGRAFO QUARTO - As instituições deverão repassar para a secretaria do sindicato profissional a relação nominal da importância descontada, bem como efetuar o depósito bancário respectivo em favor do SEEB, Banco Caixa Econômica Federal na Agência - OO61; Operação — 1292; Conta 000577608506-0, até o dia 20 de novembro de 2025. PARÁGRAFO QUINTO - Fica vedado à Instituição empregadora a realização de quaisquer manifestações, atos, campanhas ou condutas similares no sentido de incentivar ou instigar os trabalhadores não filiados ao Sindicato apresentarem o seu direito de oposição por escrito. PARÁGRAFO SEXTO - Fica vetado ao Sindicato e seus dirigentes a realização de quaisquer manifestações, atos e condutas similares no sentido de constranger os trabalhadores não filiados ao Sindicato profissional apresentarem o seu direito de oposição por escrito. PARÁGRAFO SÉTIMO - O trabalhador que não exercer o direito de oposição na forma e no prazo previstos no parágrafo primeiro não terá direito ao respectivo reembolso da presente contribuição negocial. PARÁGRAFO OITAVO - Caso haja ação judicial com decisão final que implique obrigação de devolver os valores descontados dos empregados, o Sindicato profissional, efeito beneficiário dos repasses, assume a obrigação de restituição diretamente aos empregados, dos valores que lhe foram atribuídos, sendo que, caso o ônus recaia sobre a Instituição, ela poderá cobrar do Sindicato ou promover a compensação com outros valores que devam a ele repassados, inclusive relativos a contribuições associativas, devendo a Instituição notificar o Sindicato acerca da ação com o referido objeto eventualmente ajuizado, para intervir na relação processual caso tenha interesse."
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA SÉTIMA - ASSISTÊNCIA MÉDICA - ODONTOLÓGICA","As instituições devem fornecer assistência médico-odontológica gratuita aos enfermeiros e dependentes, usando suas próprias instalações, exceto se houver seguro ou plano de saúde.","As instituições garantirão aos seus enfermeiros e dependentes legais, dentro dos serviços médicos que efetivamente dispuserem, no âmbito do seu próprio estabelecimento, assistência médica-odontológica, sem ônus para o beneficiário e sem obrigação de ampliação dos respectivos serviços para tal fim, desde que sejam utilizadas as dependências dos próprios hospitais. PARÁGRAFO ÚNICO - As instituições que possuem seguro saúde ou plano de saúde ficam desobrigadas de prestar assistência médica a seus empregados nas suas unidades, independentemente de como venha a ocorrer o custeio."
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA OITAVA - GRATIFICAÇÃO POR SETOR ESPECIALIZADO","Enfermeiros em unidades especializadas recebem gratificação de 15% até 30/11/24 e 10% a partir de 01/12/24, calculada sobre salário base, limitada ao salário de ingresso.","PARÁGRAFO PRIMEIRO — Os enfermeiros que já possuem contrato com as entidades empregadoras até o dia 30/11/2024, farão jus a uma gratificação de 15% (quinze por cento) calculada sobre o salário base percebido, para todos os empregados representados pelo SEEB, quando realizarem as suas atividades laborais em unidades especializadas, tais como: centro cirúrgico, centro obstétrico, emergências, unidade de tratamento intensivo, infectologia, hemodiálise e CME (Central de Materiais Esterilizados). Este adicional será devido enquanto os trabalhadores estiverem exercendo tais atividades nos aludidos setores. PARÁGRAFO SEGUNDO - Os enfermeiros que iniciarem novos contratos com as entidades empregadoras a partir o dia 01/12/2024, farão jus a uma gratificação de 10% (Dez por cento) calculada sobre o salário base percebido, para todos os empregados representados pelo SEEB, quando realizarem as suas atividades laborais em unidades especializadas, tais como: centro cirúrgico, centro obstétrico, emergências, unidade de tratamento intensivo, infectologia, hemodiálise e CME (Central de Materiais Esterilizados). Este adicional será devido enquanto os trabalhadores estiverem exercendo tais atividades nos aludidos setores. PARÁGRAFO TERCEIRO - A concessão do adicional fica limitada ao salário de ingresso no cargo, possuindo ou não a Instituição plano de cargos e salários devidamente registrado na Delegacia Regional do Trabalho."
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA NONA - ATESTADO MÉDICO","Atestados médicos/odontológicos legais devem ser entregues até o 2º dia útil após afastamento para avaliação, sob risco de recusa, analisados individualmente.","Os atestados médicos e odontológicos que preencham os requisitos previstos em Lei, somente serão aceitos se entregues até o segundo dia útil subsequente do afastamento do trabalho, encaminhando-o para o Serviço de Medicina do Trabalho para avaliação, sob pena de serem recusados, devendo ser analisado caso a caso."
"SINDICATO NÃO IDENTIFICADO","2025-2026","CLÁUSULA DÉCIMA - ABONO PARA ATUALIZAÇÃO PROFISSIONAL","Enfermeiros têm direito a 5 dias úteis anuais para atualização profissional, mediante aviso prévio e comprovação ao empregador.","O enfermeiro poderá utilizar 05 (cinco) dias úteis ao ano, alternados ou contínuos, para participação em congressos, reuniões, simpósios, encontros e outras promoções que tenham por objetivo assuntos relacionados à atividade profissional do empregado e do empregador, desde que previamente avisando e acordando com o empregador, apresentando posteriormente comprovante da participação no evento."
