"Sindicato","Convenção","Título da Cláusula","Resumo","Cláusula Completa"
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA PRIMEIRA - ABRANGÊNCIA.","Abrange trabalhadores ativos e aposentados da saúde, incluindo terceirizados, em entidades privadas e filantrópicas no Estado da Bahia, exceto Itabuna.","A presente convenção abrange os profissionais dos trabalhadores ativos e aposentados, duchistas, massagistas, técnicos e auxiliares de enfermagem, técnicos e auxiliares em laboratórios, empregados das redes privadas de saúde, entidades ligadas à prestação de serviços de saúde nos hospitais, santas casas, entidades beneficentes, filantrópias, clínicas médicas, gabinetes dentários, laboratórios de análises clínicas e patológicas, consultórios médicos, clínicas veterinárias, casas de massagem, trabalhadores terceirizados na área de saúde representados, neste ato representados pelo SINDISAÚDE e que laboram para as santas casas, hospitais, entidades beneficentes e filantrópicas, pertencentes à categoria econômica da representada pelo SINDIFIBA, no Estado da Bahia, com exceção a cidade de Itabuna.”(/"
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA SEGUNDA - REAJUSTE SALARIAL","Instituições concedem reajuste salarial escalonado para 2025, com abono de 2% (mai-ago) e 4% a partir de set; categorias da Lei 14.434/22 não terão reajuste; salários ≥ R$9.000 negociam livremente.","As instituições integrantes da Categoria Econômica representadas pelo SINDIFIBA concederão aos seus empregados um reajuste salarial da seguinte forma: a) Paraas categorias profissionais não abrangidas pela Lei nº. 14.434/2022, será concedido o reajuste de 2% (dois por cento) a partir de maio à agosto de 2025, em forma de abono, calculado sobre o salário de abril de 2025. A partir de 01/09/2025, o reajuste salarial final será de 4% (quatro por cento), calculado sobre o salário de abril/2025, sem pagamento retrotivo e sem sobreposição de percentuais. b) Para as categorias profissionais abrangidas pela Lei nº. 14.434/2022, não será concedido reajuste salarial. c) Para os empregados que recebem salário base igual ou superior a R$9.000,00 (nove mil reais), ficam as instituições autorizadas a negociar livremente qualquer índice de reajuste de salário; PARÁGRAFO PRIMEIRO — Os valores retroativos (2% - dois por cento) previstos no item ""a"" do caput, correspondentes ao período de maio a agosto/2025, inclusive verbas rescisórias deste periodo, serão pagos em 04 (quatro) parcelas, nas folhas de outubro/2025, novembro/2025, janeiro/2026 e fevereiro/2026, em forma de abono, e não constituem base de incidência de qualquer encargo trabalhista e previdenciário. PARÁGRAFO SEGUNDO - Serão compensadas todas as antecipações e reajustes salariais concedidos pelas instituições aos seus empregados a partir de 01 de maio de 2024, inclusive aqueles previstos em acordo coletivo. PARÁGRAFO TERCEIRO — Somente não serão compensados os aumentos concedidos por força de promoção, transferência, equiparação salarial, implemento de idade, mérito, término de contrato de aprendizagem e planos de cargos."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA TERCEIRA - DA CONCESSÃO DE ABONO ESPECIAL","Empregados indicados que recebem complemento do Piso Salarial Nacional terão abono de 2% sobre salário base, pago em 4 parcelas entre out/2025 e fev/2026, sem encargos.","Para os empregados (auxiliares de enfermagem, técnicos de enfermagem e parteiras), indicados a clausula segunda, alíena “b”, e que recebem complemento do Piso Salarial Nacional (LEI 14.434/2022), na forma determinada pela ADI 7.222 STF, será concedido um abono salarial de 2% (dois por cento) calculado sobre o salário base dos meses de maio, junho, julho e agosto/2025, em 4 (quatro) parcelas, a serem pagos nas folhas salariais dos meses de outubro/2025, novembro/2025, janeiro/2026 e fevereiro/2026, não constituindo esta parcela em base de incidência de qualquer encargo trabalhista e/ou previdenciário./v(/"
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA QUARTA - HORAS EXTRAS","Horas extras serão pagas com adicional de 65%, ou 100% em sábados, domingos e feriados, podendo ser compensadas conforme a Constituição.","O adicional de horas extras será pago na razão de 65% (sessenta e cinco por cento) sobre a hora normal, assim considerada todas aquelas trabalhadas além da jornada legal ou fixada por função. PARÁGRAFO PRIMEIRO — Fica ajustado, com base no artigo 7º, inciso XIll, da Constituição Federal/88, que as horas laboradas em sobrejornada poderão ser pagas ou compensadas. PARÁGRAFO SEGUNDO — Nos dias de sábados, domingos e feriados, o adicional de horas extras será à razão de 100% (cem por cento)."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA QUINTA - PAGAMENTO DE SALÁRIO","Adiantamento quinzenal de 25% do salário será pago entre os dias 15 e 20, antecipando-se se cair em fim de semana ou feriado, mantendo percentuais superiores já praticados.","Será concedido o adiantamento quinzenal de 25% (vinte e cinco por cento) dos salários entre os dias 15 a 20 de cada mês. PARÁGRAFO PRIMEIRO - Quando o dia 20 (vinte) coincidir com o sábado, domingo ou feriado, o pagamento deverá ser antecipado para o dia útil anterior. PARÁGRAFO SEGUNDO - Será mantido o mesmo percentual de antecipação para aquelas instituições que já praticam índice superior."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA SEXTA - PISO SALÁRIO DE INGRESSO","O piso salarial de ingresso será R$1.578,72 para 220h/mês a partir de setembro/2025, exceto para Auxiliares e Técnicos de Enfermagem e Parteiras.","O piso de ingresso a ser praticado pelas instituições integrantes da categoria econômica representadas pelo SINDIFIBA nas Instituições estabelecidas na Capital e no Interior, a partir de setembro/2025, será de R$1.578,72 (um mil, quinhentos e setenta e oito reais e setenta e dois centavos) para jornada de 220hs/mês. Este piso é fixado já contemplando um reajuste de 4% (quatro por cento) sobre o valor do piso fixado na CCT 2024/2025. Salienta-se que este piso de ingresso não se aplica aos seguintes profissionais: Auxiliares de Enfermagem, Técnicos de Enfermagem e Parteiras."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA SÉTIMA - TAXA NEGOCIAL","Resumo: As instituições descontarão 2% do salário base dos empregados em outubro/2025 para contribuição sindical, repassando os valores ao SINDISAÚDE até 18/12/2025, além de pagar 1% em outubro e novembro.","As instituições descontarão de todos os seus empregados, na folha do mês de outubro de 2025, a contribuição assistencial prevista na Constituição Federal, art. 8º, inc. IV para manutenção das atividades sindicais no percentual de 2% (dois por cento) para associados e não associados, incidentes sobre o salário base dos empregados já reajustados na forma das cláusulas segunda e quinta desta Convenção Coletiva, valores estes que foram definidos pela Assembleia Geral da categoria, podendo qualquer deles oferecer oposição ao desconto até 10 (dez) dias do efetivo desconto em carta dirigida ao SINDISAÚDE. PARÁGRAFO PRIMEIRO — As instituições deverão repassar à secretaria do SINDISAÚDE a relação nominal das importâncias descontadas, bem com efetuar o depósito bancário respectivo em favor do SINDISAÚDE, na agência 0061; Operação: 003; Conta 633-2 — Caixa Econômica Federal, até o dia 18/12/2025. n D PARÁGRAFO SEGUNDO — As instituições pagarão nos meses de outubro/2025 e novembro/2025 ao SINDISAÚDE o percentual total de 1% (um por cento), devendo o mesmo ser pago da seguinte forma: 0,5% no mês de outubro/2025 e 0,5% no mês de novembro/2025, tendo como base de cálculo o salário base dos mês de setembro e outubro/2025, respectivamente, devendo efetuar o depósito bancário até os dias 20/10/2025 e 20/11/2025, respectivamente, em favor do SINDISAÚDE, na agência 0061; Operação: 003 Conta 633-2 - Caixa Econômica Federal. PARÁGRAFO TERCEIRO — Fica vedado à Instituição empregadora a realização de quaisquer manifestações, atos, campanhas ou condutas similares no sentido de incentivar ou instigar os trabalhadores não filiados ao Sindicato a apresentarem o seu direito de oposição por escrito. PARÁGRAFO QUARTO - Fica vedado ao Sindicato e seus dirigentes a realização de quaisquer manifestações, atos e condutas similares no sentido de constranger os trabalhadores não filiados ao Sindicato profissional a apresentarem o seu direito de oposição por escrito. PARÁGRAFO QUINTO — O trabalhador que não exercer o direito de oposição na forma e no prazo previstos na cláusula sexta não terá direito ao respectivo reembolso da presente contribuição negocial. PARÁGRAFO SEXTO — Caso haja ação judicial com decisão final que implique obrigação de devolver os valores descontados dos empregados, o Sindicato profissional, efeito beneficiário dos repasses, assume a obrigação de restituição diretamente aos empregados, dos valores que lhe foram atribuídos, sendo que, caso o ônus recaia sobre a Instituição, ela poderá cobrar do Sindicato ou promover a compensação com outros valores que devam a ele repassados, inclusive relativos a contribuições associativas, devendo a Instituição notificar o Sindicato acerca da ação com o referido objeto eventualmente ajuizado, para intervir na relação processual caso tenha interesse."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA OITAVA - ASSISTÊNCIA MÉDICA/ODONTOLÓGICA","As instituições devem garantir assistência médica/odontológica gratuita aos empregados e dependentes, exceto se oferecerem seguro/plano saúde; será criada comissão para estudar proposta conveniada.","As instituições garantirão aos empregados e dependentes legais dentro dos serviços médicos hospitalares que efetivamente dispuserem no âmbito do seu próprio estabelecimento, assistência médica/odontológica, sem ônus para o beneficiário e sem obrigação de ampliação dos respectivos serviços para tal fim. PARÁGRAFO PRIMEIRO - As instituições que oferecem seguro saúde ou plano de saúde ficam desobrigadas de prestar assistência médica nas suas unidade;(/(/ PARÁGRAFO SEGUNDO - Será criada uma comissão paritária, para no prazo de 06 (seis) meses apresentar estudos de uma proposta de concessão de assistência médica/odontológica conveniada."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA NONA - GRATIFICAÇÃO DO SETOR ESPECIALIZADO","Técnicos, auxiliares e atendentes de enfermagem recebem gratificação de 15% até 30/10/24 e 10% a partir de 01/11/24, limitada ao salário de ingresso, em setores especializados.","Os técnicos, auxiliares e atendentes em enfermagem admitidos até o dia 30/10/2024, farão jus a gratificação no percentual de 15% (quinze por cento), sobre o salário base, quando realizarem suas atividades laborais em unidades especializadas tais como: Centro Obstétrico, Centro Cirúrgico, Emergência, Unidade de Tratamento Intensivo, Infectologia e Hemodiálise. Este adicional será devido enquanto estiverem exercendo tais atividades nos aludidos setores. PARÁGRAFO PRIMEIRO — Os técnicos, auxiliares de enfermagem lotados nos setores a que se refere a cláusula oitiva denominada (Gratificação do Setor Especializado) admitidos a partir de 01/11/2024, farão jus ao percentual de 10% (dez por cento). Este adicional será devido enquanto estiverem exercendo tais atividades nos aludidos setores. PARÁGRAFO SEGUNDO - A concessão do adicional fica limitado ao salário de ingresso no cargo."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA - ATESTADO MÉDICO","Atestados médicos/odontológicos devem ser entregues até o 2º dia útil após afastamento para avaliação, sob risco de recusa, conforme análise individual.","Os atestados médicos e odontológico que preencham os requisitos previstos em Lei, somente serão aceitos se entregues até o segundo dia útil subsequente do afastamento do trabalho, encaminhando-o para o Serviço de Medicina do Trabalho para avaliação, sob pena de serem recusados, devendo ser analisado caso a caso."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA PRIMEIRA - FALTAS","Faltas para exames de ascensão profissional ou capacitação escolar serão abonadas, se pré-avisadas em 72h e comprovadas, durante o horário de trabalho.","As faltas dos empregados para a realização dos exames que visam sua ascensão profissional a exemplo de vestibular e suplência profissionalizante ou de capacitação escolar e colegial, serão abonadas, no horário de sua efetiva realização, desde quando coincidentes com o horário de labor e pré avisados com antecedência mínima de 72 (setenta e duas) horas, e, devidamente comprovada."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA SEGUNDA - ANUÊNIO","O anuênio congelado desde 30/04/1998 será reajustado conforme os reajustes salariais gerais, sendo exclusivo para empregados que já o possuíam até essa data.","Permanece como vantagem pessoal, sob o título “anuênio congelado” em R$ (reais) o valor praticado em 30 de abril de 1998. PARÁGRAFO PRIMEIRO — o “anuênio congelado” mencionado nesta cláusula será reajustado com os mesmos percentuais que forem aplicados aos reajustes gerais de salários, negociados nesta convenção coletiva./(/l/ /—/ PARÁGRAFO SEGUNDO — Não fazem jus à vantagem prevista nesta cláusula os empregados que não a tenham adquirido até 30/04/1998,."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA TERCEIRA - SALÁRIO SUBSTITUIÇÃO","Empregado substituto com substituição não eventual receberá o salário do empregado substituído durante o período da substituição.","Enquanto perdurar a substituição que não tenha caráter meramente eventual, o empregado substituto fará jus ao salário contratual do substituído."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA QUARTA - ADICIONAIS E VANTAGENS","Adicionais e vantagens pessoais de empregados serão pagos no mês seguinte, devidamente atualizados.","Os adicionais e vantagens pessoais, que os empregados tenham direito dentro do mês trabalhado serão pagos no mês subsequente, desde que devidamente atualizados."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA QUINTA - AUXÍLIO CRECHE","Auxílio creche de R$72,80 por filho menor de 6 anos a partir de set/2025, com retroativos parcelados; benefício não devido se houver creche gratuita.","Será concedido para cada filho menor de 06 (seis) anos, a partir de setembro/2025, o valor de R$ 72,80 (setenta e dois reais e oitenta centavos), inclusive os adotados legais, auxílio creche. PARÁGRAFO PRIMEIRO - Os valores retroativos (4% - quatro por cento) correspondentes ao período de maio a agosto/2025, serão pagas em até 04 (quatro) parcelas, nas folhas dos meses de outubro, novembro/2025 e janeiro, fevereiro/2026, inclusive verbas rescisórias deste período. O pagamento das diferenças devidas, dar-se-á em forma de abono, e não constituirá base de incidência de qualquer encargo trabalhista e previdenciário. PARÁGRAFO SEGUNDO - As instituições que oferecem vagas em creche, sem ônus para o empregado, estarão desobrigadas de efetuar o pagamento do referido benefício."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA SEXTA - AUXÍLIO FUNERAL","Empregadores pagarão R$ 1.278,66 à família do empregado falecido a partir de set/2025, exceto se houver seguro de vida, em até 15 dias após comprovação.","As entidades empregadoras pagarão a partir de setembro/2025, o valor de R$ 1.278,66 (Hum mil, duzentos e vinte e oito reais e sessenta e seis centavos) à família do empregado, em caso de falecimento deste, a título de auxílio funeral, no prazo de 15 (quinze) dias a contar da comunicação e apresentação do atestado de óbito. PARÁGRAFO ÚNICO - As instituições que oferecem seguro de vida estão desobrigadas ao pagamento do referido benefício."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA SÉTIMA - COMPROVANTE DE PAGAMENTO","As instituições devem fornecer comprovantes de pagamento detalhados aos empregados, sem custo, presencialmente ou eletronicamente; segunda via mediante solicitação.","Os comprovantes de pagamento ou contra-cheques deverão ser fornecidos e/ou disponibilizados pelas instituições aos seus empregados, sem ônus para estes, diretamente ou por meios eletrônicos, e emitidos de maneira que neles estejam discriminadas as parcelas pagas, inclusive o valor correspondente ao recolhimento do FGTS. PARÁGRAFO ÚNICO - Em caso de necessidade da segunda via o empregado deverá solicitar diretamente à Instituição."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA OITAVA - UNIFORMES","Instituições fornecem 2 uniformes anuais gratuitamente, com devolução obrigatória na reposição ou rescisão, sob pena de desconto.","As instituições fornecerão, gratuitamente, aos seus empregados, 02 (dois) uniformes por ano, desde que exigidos o seu uso. PARÁGRAFO ÚNICO - A devolução dos mesmos se dará quando da reposição e/ou rescisão de contrato de trabalho, sob pena de ser descontado o valor referente."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA DÉCIMA NONA - QUADRO DE AVISOS","Empregados podem afixar comunicados no quadro de avisos, após aprovação da direção, desde que respeitem a imagem da instituição e interesses da categoria.","As instituições permitirão a colocação de comunicado para empregados em seu quadro de avisos, desde que previamente encaminhado a direção das instituições. PARÁGRAFO ÚNICO - Os avisos terão como finalidade a divulgação de assuntos de interesse da categoria dos trabalhadores desde que não sejam atentatórios e não venham a denegrir a imagem ou reputação da Instituição ou pessoas."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA VIGÉSIMA - AVISO PRÉVIO","Aviso prévio para demissão sem justa causa segue a lei 12.506/2011, com acréscimo de 3 dias por ano trabalhado, sem limite máximo de 90 dias.","Aos empregados despedidos sem justa causa será concedido o aviso prévio na forma da lei nº 12.506/2011, sendo que o acréscimo de 03(três) dias por cada ano trabalhado, não está limitado a 90 (noventa) dias."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA VIGÉSIMA PRIMEIRA - ADICIONAL NOTURNO","Adicional noturno de 40% na capital e 35% no interior, para trabalho entre 22h e 5h, com garantia da redução da hora noturna conforme a lei.","O adicional noturno será pago com percentual de 40% (quarenta por cento) para as instituições estabelecidas na capital e 35% (trinta e cinco por cento) para as instituições estabelecidas no interior. PARÁGRAFO PRIMEIRO - Considera-se como trabalho noturno o realizado entre 22:00 às 5:00 horas. PARÁGRAFO SEGUNDO - As instituições assegurarão aos empregados o cumprimento do que estabelece a legislação vigente no que se refere a redução da hora noturna."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA VIGÉSIMA SEGUNDA - LIBERAÇÃO DO DIRIGENTE SINDICAL","Diretores sindicais têm direito à liberação remunerada para atividades sindicais, sem prejuízo dos seus vencimentos e vantagens.","e mais 01 (um) diretor por Instituição até o limite de 02 (dois), excluído deste cômputo o A - PARÁGRAFO PRIMEIRO - Fica assegurado o benefício a outros diretores titulares que já estejam liberados. PARÁGRAFO SEGUNDO - Em qualquer das hipóteses acima mencionadas, não haverá prejuízo dos vencimentos e vantagens."
"SINDICATO DOS TRABALHADORES EM SANTAS CASAS, ENTIDADES FILANTRÓPICAS, BENEFICENTES E RELIGIOSAS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE DO ESTADO DA BAHIA — SINDISAÚDE","2025-2027","CLÁUSULA VIGÉSIMA TERCEIRA - DELEGADO SINDICAL","Garantia de emprego ao delegado sindical eleito do SINDISAÚDE no Interior (exceto Itabuna) desde a candidatura até um ano após o mandato.","Fica garantido o emprego do trabalhador, eleito para o cargo de delegado sindical, na proporção de 01 (um) por delegacia sindical do SINDISAÚDE estabelecidas no Interior do estado, com exceção de Itabuna, desde a inscrição de sua candidatura até um ano após o término do mandato da diretoria."
