Sindicato,Convenção,Título da Cláusula,Resumo,Cláusula Completa
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA PRIMEIRA - VIGÊNCIA E DATA-BASE,"""Define o período de vigência da convenção e a data-base da categoria.""","""As partes fixam a vigência da presente Convenção Coletiva de Trabalho no período de 01º de maio de 2023 a 30 de abril de 2024 e a data-base da categoria em 01º de maio."""
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA SEGUNDA - ABRANGÊNCIA,"""Especifica todos os municípios abrangidos para aplicação da convenção aos farmacêuticos.""","""A presente Convenção Coletiva de Trabalho abrangerá a(s) categoria(s) farmacêuticos, com abrangência territorial em Astorga/PR, Atalaia/PR, Colorado/PR, Doutor Camargo/PR, Floraí/PR, Floresta/PR, Flórida/PR, Iguaraçu/PR, Itaguajé/PR, Itambé/PR, Ivatuba/PR, Lobato/PR, Mandaguaçu/PR, Mandaguari/PR, Marialva/PR, Maringá/PR, Munhoz de Melo/PR, Nossa Senhora das Graças/PR, Nova Esperança/PR, Ourizona/PR, Paiçandu/PR, Presidente Castelo Branco/PR, Santa Fé/PR, Santa Inês/PR, Santo Inácio/PR, São Jorge do Ivaí/PR, Sarandi/PR e Uniflor/PR."""
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA TERCEIRA - CORREÇÃO SALARIAL E PISO DA CATEGORIA,"""Define reajustes salariais por faixas""","""data de pagamento e fixa o novo piso salarial a partir de 01/05/23, além de disciplina pagamento de retroativos.,Os salários serão reajustados em primeiro de maio de 2023, com pagamento até o quinto dia útil de junho de 2023, obedecendo o seguinte escalonamento: I – Salários até R$3.000,00 (Três mil reais) – o reajuste aplicado será de 4%; II – Salários de R$3.001,00 a R$10.000,00 – o reajuste aplicado será de 3%; III – Salários acima de R$10.000,00 – O reajuste aplicado será de 2%. Parágrafo Primeiro: Fica acordado que o piso salarial da categoria, para uma jornada de 44 horas semanais, a partir de 01/05/2023 é de R$3.533,21. Parágrafo Segundo: Eventuais valores retroativos deverão ser realizados na folha de pagamento subsequente ao fechamento da Convenção."""
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA QUARTA - PAGAMENTO DAS VERBAS RESCISÓRIAS,"""Estabelece prazo para pagamento das verbas rescisórias""","""antecipando caso caia em finais de semana ou feriados.,O pagamento das verbas rescisórias deverá ser feito, sem qualquer acréscimo, até o (10) décimo dia legal, sendo que se o mesmo recair no sábado, domingo ou feriado, o referido pagamento deverá ser realizado até o último dia útil que anteceda o prazo legal."""
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA QUINTA - COMPROVANTES DE PAGAMENTO,"""Obriga fornecimento de comprovante detalhado de pagamento""","""inclusive por meio digital; prevê entrega física excepcional se requisitado.,Ficam obrigados os empregadores a fornecerem envelopes de pagamento ou contracheques, discriminando as importâncias da remuneração e os respectivos descontos efetuados, inclusive o valor a ser recolhido ao FGTS. Parágrafo Primeiro: A obrigação do caput pode ser suprida por meio eletrônico, através de e-mail, sistemas ou outra forma de acesso via internet disponibilizada ao trabalhador de forma individual. Caso haja solicitação fundamentada do trabalhador com prazo mínimo de 48 horas, o documento deve ser disponibilizado em formato físico, excepcionalmente no mês do pedido. Parágrafo Segundo - As empresas pagarão os salários e todas as verbas que compõem a remuneração do empregado até o 5º (quinto) dia útil do mês subsequente ao trabalhado."""
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA SEXTA - ERRO NA FOLHA DE PAGAMENTO,"""Determina prazo de até 3 dias úteis para corrigir diferenças salariais em folha ou adiantamento""","""prejuízo ao empregado.,No caso de ocorrência inequívoca de diferença de salário na folha de pagamento ou adiantamento, em prejuízo do empregado, a empresa se obriga a efetuar o pagamento da respectiva diferença no prazo de até 03 (três) dias úteis, contados a partir da data da constatação da diferença."""
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA SÉTIMA - PAGAMENTO DE SALÁRIO FORA DO PRAZO,"""Prevê multa de 0""","""30% por dia para atrasos salariais, calculada sobre o valor líquido devido.,O pagamento do salário mensal deve ser realizado na forma e prazo legal. O pagamento salarial fora do prazo implicará na multa de 0,30% (zero vírgula trinta por cento) por dia de atraso, que será calculado sobre o valor líquido devido e deverá ser regularizado até a folha de pagamento seguinte."""
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA OITAVA - INDENIZAÇÃO ADICIONAL,"""Disciplina regras para pagamento de indenização adicional por projeção do aviso prévio""","""conforme lei.,As partes em cumprimento à lei 7.238, de 29/10/84 e visando dar tratamento uniforme ao pagamento da indenização adicional, estabelecem que: a) o tempo do aviso prévio cumprido ou indenizado integra o tempo de serviço para todos os efeitos legais; b) somado o tempo do aviso prévio indenizado ao contrato de trabalho é devida a indenização adicional quando a projeção ocorrer no período de 1/4/ a 30/4 de cada ano; c) somado o tempo do aviso prévio indenizado ao contrato de trabalho, não é devida a indenização adicional, quando a projeção do tempo do aviso prévio recair no período posterior a 30/4/ ou anterior a 31/3 de cada ano. Parágrafo Único: Ressalva-se que os dias de aviso prévio acrescentados pela lei 12.506/2011, serão computados para cálculo do tempo de serviço e consequente enquadramento para cálculo da indenização adicional."""
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA NONA - SALÁRIO DO SUBSTITUTO,"""Garante salário igual ao empregado substituído em substituições eventuais superiores a 30 dias""","""exceto vantagens pessoais.,Enquanto perdurar a substituição meramente eventual, com período superior a 30(trinta) dias, o empregado substituto fará jus ao salário contratual do substituído, excetuando-se as vantagens de caráter pessoal."""
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA DÉCIMA - ABONO POR TEMPO DE SERVIÇO,"""Prevê abono de 0""","""6% por ano de serviço desde 2010, sem limite, e detalha regras de transição para antigos empregados.,Fixa-se o abono por tempo de serviço correspondente a 0,6% (zero vírgula seis por cento) por ano de serviço trabalhado na mesma empresa, incidente sobre o salário base do empregado, a ser pago destacadamente, ficando excluído para do cômputo do tempo de serviço o período de afastamento pelo INSS, com duração acima de trinta dias. Parágrafo Primeiro: A partir de 01/05/2010, não haverá mais o limitador de 10 anos, até então constante nas CCT anteriores, passando a aplicar-se a regra do caput, a partir da presente data a todos àqueles trabalhadores que completarem um novo anuênio."""
