Sindicato,Convenção,Título da Cláusula,Resumo,Cláusula Completa
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA PRIMEIRA - VIGÊNCIA E DATA-BASE,"Define o período de vigência da convenção e a data-base da categoria","As partes fixam a vigência da presente Convenção Coletiva de Trabalho no período de 01º de maio de 2023 a 30 de abril de 2024 e a data-base da categoria em 01º de maio."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA SEGUNDA - ABRANGÊNCIA,"Especifica todos os municípios abrangidos para aplicação da convenção aos farmacêuticos","A presente Convenção Coletiva de Trabalho abrangerá a(s) categoria(s) farmacêuticos, com abrangência territorial em Astorga/PR, Atalaia/PR, Colorado/PR, Doutor Camargo/PR, Floraí/PR, Floresta/PR, Flórida/PR, Iguaraçu/PR, Itaguajé/PR, Itambé/PR, Ivatuba/PR, Lobato/PR, Mandaguaçu/PR, Mandaguari/PR, Marialva/PR, Maringá/PR, Munhoz de Melo/PR, Nossa Senhora das Graças/PR, Nova Esperança/PR, Ourizona/PR, Paiçandu/PR, Presidente Castelo Branco/PR, Santa Fé/PR, Santa Inês/PR, Santo Inácio/PR, São Jorge do Ivaí/PR, Sarandi/PR e Uniflor/PR."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA TERCEIRA - CORREÇÃO SALARIAL E PISO DA CATEGORIA,"Define reajustes salariais por faixas, data de pagamento e fixa o novo piso salarial a partir de 01/05/23, além de disciplina pagamento de retroativos","Os salários serão reajustados em primeiro de maio de 2023, com pagamento até o quinto dia útil de junho de 2023, obedecendo o seguinte escalonamento: I – Salários até R$3.000,00 – reajuste de 4%; II – Salários de R$3.001,00 a R$10.000,00 – reajuste de 3%; III – Salários acima de R$10.000,00 – reajuste de 2%. Piso salarial da categoria, para jornada de 44 horas semanais, a partir de 01/05/2023 é de R$3.533,21. Valores retroativos serão realizados na folha subsequente ao fechamento da Convenção."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA QUARTA - PAGAMENTO DAS VERBAS RESCISÓRIAS,"Estabelece prazo para pagamento das verbas rescisórias, antecipando caso caia em finais de semana ou feriados","O pagamento das verbas rescisórias será feito até o décimo dia legal, antecipado para o último dia útil anterior caso recaia em sábado, domingo ou feriado."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA QUINTA - COMPROVANTES DE PAGAMENTO,"Obriga fornecimento de comprovante detalhado de pagamento, inclusive digital, e físico mediante solicitação","Empregadores devem fornecer envelope ou contracheque detalhado, inclusive por meio eletrônico, e físico com antecedência de 48h caso solicitado pelo empregado. Salários pagos até o 5º dia útil do mês subsequente."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA SEXTA - ERRO NA FOLHA DE PAGAMENTO,"Determina prazo de até 3 dias úteis para corrigir diferenças salariais em folha ou adiantamento","No caso de erro, a empresa deve complementar no máximo em 3 dias úteis após constatação da diferença."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA SÉTIMA - PAGAMENTO DE SALÁRIO FORA DO PRAZO,"Prevê multa de 0,30% ao dia para atraso salarial","Multa de 0,30% ao dia de atraso sobre o valor líquido devido, regularizado na folha seguinte."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA OITAVA - INDENIZAÇÃO ADICIONAL,"Regras para pagamento de indenização adicional por aviso prévio","O aviso prévio (cumprido/indenizado) integra tempo de serviço para cálculo da indenização se a projeção recair de 1º a 30/4; não é devida se cair antes de 31/3 ou após 30/4. Os dias do aviso prévio da Lei 12.506/11 serão computados."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA NONA - SALÁRIO DO SUBSTITUTO,"Prevê salário igual ao substituído em casos acima de 30 dias","Substituições por mais de 30 dias garantem ao substituto o salário contratual do substituído, excetuadas vantagens pessoais."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA DÉCIMA - ABONO POR TEMPO DE SERVIÇO,"Prevê abono de 0,6% por ano trabalhado desde 2010, sem limite","Abono por tempo de serviço de 0,6% por ano na empresa, pago destacadamente, exceto períodos de afastamento por INSS superiores a 30 dias. Desde 01/05/2010, fim do limitador de 10 anos."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA DÉCIMA PRIMEIRA - ADIANTAMENTO DE 13º SALÁRIO,"Possibilita adiantamento de até 50% do 13º a pedido","Poderá ser antecipado até 50% do 13º salário por solicitação escrita feita até janeiro de cada ano."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA DÉCIMA SEGUNDA - VALE-TRANSPORTE,"Regulamenta concessão de vale-transporte e proíbe descontos superiores a 6%","Empregador não pode descontar mais de 6% do salário base pelo fornecimento do vale-transporte."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA DÉCIMA TERCEIRA - JORNADA DE TRABALHO,"Regula jornada normal e escalas diferenciadas incluindo plantões e 12x36","Jornada padrão de 44 horas semanais, podendo existir escalas 12x36, plantões e horários flexíveis desde que acordado entre as partes."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA DÉCIMA QUARTA - BANCO DE HORAS,"Permite banco de horas por acordo coletivo","Fica facultada instituição de banco de horas via acordo coletivo homologado no sindicato, proibido acordo individual."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA DÉCIMA QUINTA - HORAS EXTRAS,"Prevê pagamento de extras conforme a legislação","Extras até limite legal pagas com adicional de 50% ou conforme CLT; plantões e compensações sujeitos a acordo coletivo."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA DÉCIMA SEXTA - ADICIONAL NOTURNO,"Concede adicional de 30% sobre a hora noturna","Adicional de 30% sobre o valor da hora normal para trabalho entre 22h e 5h, considerando hora reduzida segundo a CLT."
FARMACÊUTICOS,MARINGA 2023,CLÁUSULA DÉCIMA SÉTIMA - ADICIONAL DE INSALUBRIDADE,"Determina adicional de insalubridade conforme laudo técnico","Adicional devido de acordo com a legislação vigente e laudo técnico, calculado sobre salário mínimo."
