Sindicato,Convenção,Título da Cláusula,Resumo,Cláusula Completa
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,VIGÊNCIA E DATA-BASE,As partes fixam a vigência da presente Convenção Coletiva de Trabalho no período de 01º de maio de 2025 a 30 de abril de 2026 e a data-base da...,As partes fixam a vigência da presente Convenção Coletiva de Trabalho no período de 01º de maio de 2025 a 30 de abril de 2026 e a data-base da categoria em 01º de maio.
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,ABRANGÊNCIA,"A presente Convenção Coletiva de Trabalho abrangerá a(s) categoria(s) auxiliares e técnicos de radiologia, com abrangência territorial em Astorga/PR,...","A presente Convenção Coletiva de Trabalho abrangerá a(s) categoria(s) auxiliares e técnicos de radiologia, com abrangência territorial em Astorga/PR, Atalaia/PR, Colorado/PR, Doutor Camargo/PR, Floraí/PR, Floresta/PR, Flórida/PR, Iguaraçu/PR, Itaguajé/PR, Itambé/PR, Ivatuba/PR, Lobato/PR, Mandaguaçu/PR, Mandaguari/PR, Marialva/PR, Maringá/PR, Munhoz de Melo/PR, Nossa Senhora das Graças/PR, Nova Esperança/PR, Ourizona/PR, Paiçandu/PR, Presidente Castelo Branco/PR, Santa Fé/PR, Santa Inês/PR, Santo Inácio/PR, São Jorge do Ivaí/PR, Sarandi/PR e Uniflor/PR. Salários, Reajustes e Pagamento Piso Salarial"
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,PISO SALARIAL,Os pisos da categoria ficam assim definidos: a)De 01/05/2025 á 31/08/2025: Auxiliar de Radiologia - R$2.,"Os pisos da categoria ficam assim definidos: a)De 01/05/2025 á 31/08/2025: Auxiliar de Radiologia - R$2.132,30 Técnico de Radiologia - R$2.603,00 b) A partir de 01/09/2025: Auxiliar de Radiologia - R$2.190,68 Técnico de Radiologia - R$2.674,28 Parágrafo Primeiro: Com as aplicações do reajuste previsto nesta Cláusula ficam zeradas todas e quaisquer diferenças salariais aplicáveis às categorias no período de Maio/2024 a Abril/2025. Parágrafo Segundo: Serão compensados todos os reajustes salariais espontâneos e as antecipações salariais concedidas a partir de maio/2025. Paragrafo Terceiro: Em face da celebração tardia da presente convenção coletiva, os valores retroativos referentes aos reajustes salariais e seus reflexos, deverão ser apurados e quitados juntamente com a proxima folha de pagamento. Reajustes/Correções Salariais"
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,CORREÇÃO SALARIAL,Os salários superiores aos pisos estabelecidos na clausula 3ª da presente CCT serão reajustados da seguinte maneira: I) Salários até R$10.,"Os salários superiores aos pisos estabelecidos na clausula 3ª da presente CCT serão reajustados da seguinte maneira: I) Salários até R$10.000,00: O reajuste é de 5,82%, divididos em duas vezes, de forma não capitalizada e aplicados da seguinte forma: a) A partir de 01/05/2025 - Reajuste de 3,00% sobre os salários auferidos em abril/2025 b) A partir de 01/09/2025 - Reajuste de 5,82% sobre os salários auferidos em abril/2025 c) Exemplos de cálculo de reajuste não capitalizado: Salário de R$2.000,00 recebido em abril/2025: Em maio de 2025 o cálculo é de R$2.000,00 + 3% de reajuste= R$2.060,00 Em setembro de 2025 o cálculo é de R$2.000,00 + 5,82% de reajuste=R$2.116,40 II) Entre R$10.000,01 a R$16.314,82 de salário: O reajuste é de 3,82%, divididos em duas vezes e aplicados da seguinte forma: a) A partir de 01/05/2025 - Reajuste de 2% sobre os salários auferidos em abril/2025 b) A partir de 01/09/2025 - Reajuste de 3,82% sobre os salários auferidos em abril/2025 c) Exemplos de cálculo de reajuste não capitalizado: Salário de R$10.000,00 recebido em abril/2025: Em maio de 2025 o cálculo é de R$10.000,00 + 2% de reajuste= R$10.200,00 Em setembro de 2025 o cálculo é de R$10.000,00 + 3,82% de reajuste=R$10.382,00 III) Acima de 16.314,82 haverá livre negociação entre empregado e empregador, conforme a previsão do artigo 444 da CLT. Parágrafo Primeiro: Para os empregados admitidos a partir de 01/05/2025, os salários serão corrigidos levando em conta o mesmo índice de correção salarial ora pactuado no caput desta clausula, desde o mês da admissão até 31/08/2025, respeitando-se o piso salarial da função. Parágrafo Segundo: Serão compensados todos os reajustes salariais espontâneos ou compulsórios e as antecipações salariais concedidas a partir de maio/2025. Parágrafo Terceiro: Não serão compensados os aumentos decorrentes de promoção, transferência, equiparação salarial, implemento de idade, mérito e término de contrato de aprendizagem, bem como, resultantes da integração de horas extras. Parágrafo Quarto: Em face da celebração tardia da presente convenção coletiva, os valores retroativos referentes aos reajustes salariais e seus reflexos, deverão ser apurados e quitados juntamente com a proxima folha de pagamento. Parágrafo Quinto: Com as aplicações do reajuste previsto nesta Cláusula ficam zeradas todas e quaisquer diferenças salariais aplicáveis às categorias no período de Maio/2024 a Abril/2025. Pagamento de Salário – Formas e Prazos"
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,PAGAMENTO DAS VERBAS RESCISÓRIAS,"O pagamento das verbas rescisórias deverá ser feito, sem qualquer acréscimo, até o (10) décimo dia legal, sendo que se o mesmo recair no sábado,...","O pagamento das verbas rescisórias deverá ser feito, sem qualquer acréscimo, até o (10) décimo dia legal, sendo que se o mesmo recair no sábado, domingo ou feriado, o referido pagamento deverá ser realizado até o último dia útil que anteceda o prazo legal."
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,COMPROVANTES DE PAGAMENTO,"Ficam obrigados os empregadores a fornecerem envelopes de pagamento ou contracheques, discriminando as importâncias da remuneração e os respectivos...","Ficam obrigados os empregadores a fornecerem envelopes de pagamento ou contracheques, discriminando as importâncias da remuneração e os respectivos descontos efetuados, inclusive o valor a ser recolhido ao FGTS. Parágrafo Primeiro: A obrigação do caput pode ser suprida por meio eletrônico, através de e-mail, sistemas ou outra forma de acesso via internet disponibilizada ao trabalhador de forma individual. Caso haja solicitação fundamentada do trabalhador com prazo mínimo de 48 horas, o documento deve ser disponibilizado em formato físico, excepcionalmente no mês do pedido. Parágrafo Segundo - As empresas pagarão os salários e todas as verbas que compõem a remuneração do empregado até o 5º (quinto) dia útil do mês subsequente ao trabalhado."
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,ERRO NA FOLHA DE PAGAMENTO,"No caso de ocorrência inequívoca de diferença de salário na folha de pagamento ou adiantamento, em prejuízo do empregado, a empresa se obriga a...","No caso de ocorrência inequívoca de diferença de salário na folha de pagamento ou adiantamento, em prejuízo do empregado, a empresa se obriga a efetuar o pagamento da respectiva diferença no prazo de até 03 (três) dias úteis, contados a partir da data da constatação da diferença."
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,PAGAMENTO DE SALÁRIO FORA DO PRAZO,O pagamento do salário mensal deve ser realizado na forma e prazo legal.,"O pagamento do salário mensal deve ser realizado na forma e prazo legal. O pagamento salarial fora do prazo implicará na multa de 0,30% (zero vírgula trinta por cento) por dia de atraso, que será calculado sobre o valor líquido devido e deverá ser regularizado até a folha de pagamento seguinte."
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,INDENIZAÇÃO ADICIONAL,As partes em cumprimento à lei 7.,"As partes em cumprimento à lei 7.238, de 29/10/84 e visando dar tratamento uniforme ao pagamento da indenização adicional, estabelecem que: a) o tempo do aviso prévio cumprido ou indenizado integra o tempo de serviço para todos os efeitos legais; b) somado o tempo do aviso prévio indenizado ao contratode trabalho é devida a indenização adicional quando a projeção ocorrer no período de 1/4/ a 30/4 de cada ano; c) somado o tempo do aviso prévio indenizado ao contrato de trabalho, não é devida a indenização adicional, quando a projeção do tempo do aviso prévio recair no período posterior a 30/4/ ou anterior a 31/3 de cada ano. Parágrafo Único: Ressalva-se que os dias de aviso prévio acrescentado pela lei 12.506/2011, serão computados para cálculo do tempo de serviço e consequente enquadramento para cálculo da indenização adicional."
SINDICATO NÃO IDENTIFICADO,CONVENÇÃO COLETIVA 2025/2026,SALÁRIO DO SUBSTITUTO,"Enquanto perdurar a substituição meramente eventual, com período superior a 30(trinta) dias, o empregado substituto fará jus ao salário contratual do...","Enquanto perdurar a substituição meramente eventual, com período superior a 30(trinta) dias, o empregado substituto fará jus ao salário contratual do substituído, excetuando-se as vantagens de caráter pessoal. Gratificações, Adicionais, Auxílios e Outros Adicional de Hora-Extra"
